Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 D02.01 M43 KWh-Dif;MISFAT 3 Eclairage 3-2 KWh-Dif;MISFAT 3 G10 KWh-Diff;MISFAT 3 G33  kWh-Diff;MISFAT 3 G39 KWh-Diff;MISFAT 3 H39 KWh-Diff;MISFAT 3 H46 KWh-Diff;MISFAT 3 H53 KWh-Dif;MISFAT 3 N11 KWh-Dif;
2025-01-06 11:00:00 CEST;"104;375";"96;5";"29;875";"13;9765625";0,0kWh;"7;84765625";"5;65625";"40;875";0,0kWh;"11;537109375";"12;416015625";0,0kWh;
2025-01-06 12:00:00 CEST;"105;484375";"97;625";"29;6875";"10;9765625";0,0kWh;"7;69287109375";"5;76953125";40,0kWh;0,0kWh;"11;10546875";"12;21484375";0,0kWh;
2025-01-06 13:00:00 CEST;"90;109375";"64;75";"29;5";"23;1875";0,0kWh;"7;68115234375";"47;66015625";"40;75";0,0kWh;"11;1279296875";"13;18359375";0,0kWh;
2025-01-06 14:00:00 CEST;65,0kWh;"78;75";"29;375";"19;6015625";0,0kWh;"7;67236328125";"56;45703125";"26;4375";0,0kWh;"11;1669921875";"12;203125";0,0kWh;
2025-01-06 15:00:00 CEST;"54;875";"43;125";"30;75";"18;4609375";0,0kWh;"7;55224609375";"52;71875";"1;5625";0,0kWh;"10;650390625";"12;0859375";0,0kWh;
2025-01-06 16:00:00 CEST;"60;859375";43,0kWh;"30;25";"13;90625";0,0kWh;"7;60595703125";"52;8515625";"37;25";0,0kWh;"10;798828125";"11;869140625";0,0kWh;
2025-01-06 17:00:00 CEST;"55;28125";"44;25";"30;75";"1;5859375";0,0kWh;"7;626953125";"56;6796875";"38;40625";0,0kWh;"11;369140625";"11;857421875";0,0kWh;
2025-01-06 18:00:00 CEST;"67;859375";78,0kWh;"38;25";"1;578125";0,0kWh;"7;74462890625";"56;5390625";"40;46875";0,0kWh;"11;349609375";"11;94921875";0,0kWh;
2025-01-06 19:00:00 CEST;"85;515625";"100;375";"39;1875";"1;5859375";0,0kWh;"8;20556640625";"56;21484375";"41;46875";0,0kWh;"11;4609375";"11;62109375";0,0kWh;
2025-01-06 20:00:00 CEST;"91;421875";"97;375";"35;6875";"1;609375";0,0kWh;"5;72705078125";"51;1171875";"40;875";0,0kWh;"11;595703125";"11;814453125";0,0kWh;
2025-01-06 21:00:00 CEST;"7;828125";"99;25";"31;25";"1;625";0,0kWh;0,0kWh;0,0kWh;"34;375";0,0kWh;"12;3603515625";"10;6796875";0,0kWh;
2025-01-06 22:00:00 CEST;"9;109375";"95;75";"36;4375";"1;6328125";0,0kWh;0,0kWh;0,0kWh;"39;375";0,0kWh;"11;5458984375";"7;921875";0,0kWh;
2025-01-06 23:00:00 CEST;"0;71875";"9;5";"0;625";"0;1640625";0,0kWh;0,0kWh;0,0kWh;4,0kWh;0,0kWh;"1;3525390625";"0;634765625";0,0kWh;
2025-01-07 00:00:00 CEST;"8;328125";"94;625";"33;1875";"1;625";0,0kWh;0,0kWh;"44;41015625";"22;4375";0,0kWh;"11;7373046875";"7;4453125";0,0kWh;
2025-01-07 01:00:00 CEST;"8;3125";"93;25";"28;375";"1;625";0,0kWh;0,0kWh;"54;6875";"1;625";0,0kWh;"12;4150390625";"7;162109375";0,0kWh;
2025-01-07 02:00:00 CEST;"9;703125";"82;875";30,0kWh;"1;6328125";0,0kWh;0,0kWh;"55;1640625";"1;46875";0,0kWh;"11;3955078125";"7;7578125";0,0kWh;
2025-01-07 03:00:00 CEST;"8;578125";"92;625";"30;75";"1;6328125";0,0kWh;0,0kWh;"52;83203125";"1;5";0,0kWh;"11;9052734375";"7;49609375";0,0kWh;
2025-01-07 04:00:00 CEST;"9;296875";"92;75";"32;125";"1;640625";0,0kWh;0,0kWh;"55;40234375";"1;59375";0,0kWh;"11;94140625";"7;37109375";0,0kWh;
2025-01-07 05:00:00 CEST;"9;453125";"81;875";"33;75";1,0kWh;0,0kWh;0,0kWh;"45;53515625";"1;59375";0,0kWh;"12;6201171875";"7;431640625";0,0kWh;
2025-01-07 06:00:00 CEST;"41;78125";"37;25";"3;125";"0;140625";0,0kWh;0,0kWh;"14;4921875";"1;59375";0,0kWh;"6;6259765625";"14;810546875";0,0kWh;
2025-01-07 07:00:00 CEST;"114;8125";"31;375";"45;125";"0;140625";0,0kWh;"10;05419921875";"55;20703125";"34;4375";0,0kWh;"11;560546875";"13;095703125";"0;1875";
2025-01-07 08:00:00 CEST;"117;515625";"32;5";"37;8125";"0;1328125";0,0kWh;"8;1806640625";"53;296875";"40;71875";0,0kWh;"10;9658203125";"11;876953125";"0;0625";
2025-01-07 09:00:00 CEST;"116;21875";"32;5";"31;875";"0;1328125";0,0kWh;"7;95849609375";"54;8359375";"40;78125";0,0kWh;"10;9482421875";"11;91015625";0,0kWh;
2025-01-07 10:00:00 CEST;"111;375";"58;125";"30;6875";"0;1328125";0,0kWh;"7;83837890625";"55;36328125";"40;8125";0,0kWh;"10;9697265625";"12;236328125";0,0kWh;
2025-01-07 11:00:00 CEST;"111;765625";"90;75";"30;6875";"0;1328125";0,0kWh;"7;7333984375";"19;41796875";"40;90625";0,0kWh;"11;048828125";"12;966796875";0,0kWh;
2025-01-07 12:00:00 CEST;"114;875";"88;5";"35;5625";"0;1328125";0,0kWh;"7;72998046875";"57;70703125";"40;78125";0,0kWh;"11;3203125";"12;12890625";0,0kWh;
2025-01-07 13:00:00 CEST;"113;640625";"90;5";"31;1875";"0;1328125";0,0kWh;"7;70458984375";"58;06640625";"41;1875";0,0kWh;"11;046875";"12;892578125";0,0kWh;
2025-01-07 14:00:00 CEST;"101;3125";"89;375";"30;9375";"0;1328125";0,0kWh;"7;70166015625";"44;3515625";"34;90625";0,0kWh;"11;1044921875";"12;138671875";0,0kWh;
2025-01-07 15:00:00 CEST;"88;5625";"81;5";"36;125";"17;609375";0,0kWh;"7;7646484375";"58;90234375";"40;84375";0,0kWh;"10;7900390625";"12;763671875";0,0kWh;
2025-01-07 16:00:00 CEST;"108;796875";"71;125";"30;25";"15;171875";0,0kWh;"8;078125";"47;94921875";"40;625";0,0kWh;"10;6494140625";"11;876953125";0,0kWh;
2025-01-07 17:00:00 CEST;"106;484375";"94;625";"30;125";"0;140625";0,0kWh;"7;8994140625";"32;49609375";"38;78125";0,0kWh;"11;1171875";"12;3125";0,0kWh;
2025-01-07 18:00:00 CEST;"108;734375";"95;375";31,0kWh;"0;140625";0,0kWh;"8;01806640625";"2;23828125";"41;15625";0,0kWh;"10;9521484375";"12;56640625";0,0kWh;
2025-01-07 19:00:00 CEST;"107;828125";"90;25";"38;1875";"0;140625";0,0kWh;"7;939453125";"3;1171875";"40;9375";0,0kWh;"10;380859375";"11;349609375";0,0kWh;
2025-01-07 20:00:00 CEST;96,0kWh;104,0kWh;"40;5";"0;140625";0,0kWh;"5;88427734375";"0;91796875";"38;15625";0,0kWh;"10;3671875";"11;03515625";0,0kWh;
2025-01-07 21:00:00 CEST;"10;359375";"100;5";"30;75";"27;59375";0,0kWh;0,0kWh;0,0kWh;"40;5";0,0kWh;"10;66796875";"10;224609375";0,0kWh;
2025-01-07 22:00:00 CEST;"10;828125";"98;75";"30;5625";"16;46875";0,0kWh;0,0kWh;0,0kWh;"39;84375";0,0kWh;"11;244140625";8,0kWh;0,0kWh;
2025-01-07 23:00:00 CEST;"1;78125";"16;875";"5;1875";"2;2890625";0,0kWh;0,0kWh;0,0kWh;"6;75";0,0kWh;"1;8125";"1;0859375";0,0kWh;
2025-01-08 00:00:00 CEST;"10;21875";"97;625";"35;4375";"17;3203125";0,0kWh;0,0kWh;0,0kWh;"40;28125";0,0kWh;"10;982421875";"7;375";0,0kWh;
2025-01-08 01:00:00 CEST;"10;640625";"95;375";"29;9375";"21;3984375";0,0kWh;0,0kWh;0,0kWh;"37;65625";0,0kWh;"10;904296875";"7;478515625";0,0kWh;
2025-01-08 02:00:00 CEST;"10;515625";"98;625";"29;75";"12;359375";0,0kWh;0,0kWh;"0;00390625";"39;875";0,0kWh;"10;216796875";"7;650390625";0,0kWh;
2025-01-08 03:00:00 CEST;"9;359375";96,0kWh;"29;875";"26;5234375";0,0kWh;0,0kWh;0,0kWh;"37;125";0,0kWh;"11;5517578125";"7;40234375";0,0kWh;
2025-01-08 04:00:00 CEST;"8;8125";96,0kWh;"43;4375";"17;8046875";0,0kWh;0,0kWh;0,0kWh;"40;4375";0,0kWh;"11;1318359375";"7;271484375";0,0kWh;
2025-01-08 05:00:00 CEST;"9;390625";"86;125";"39;25";"8;9921875";0,0kWh;0,0kWh;0,0kWh;"30;1875";0,0kWh;"11;1123046875";"7;4453125";0,0kWh;
2025-01-08 06:00:00 CEST;"35;25";"70;5";"0;5";"1;6328125";0,0kWh;0,0kWh;"10;99609375";"19;09375";0,0kWh;"7;1513671875";"14;58984375";0,0kWh;
2025-01-08 07:00:00 CEST;"110;28125";"95;625";"42;6875";"14;65625";0,0kWh;"8;73681640625";"45;82421875";"41;4375";0,0kWh;"10;982421875";"12;556640625";"0;09375";
2025-01-08 08:00:00 CEST;"107;9375";"95;25";"32;5625";"22;65625";0,0kWh;"8;17626953125";"53;8671875";"41;34375";0,0kWh;"11;5625";"11;70703125";"0;125";
2025-01-08 09:00:00 CEST;"108;0625";"94;375";"32;375";"20;765625";0,0kWh;"8;08740234375";"46;16796875";"41;625";0,0kWh;"11;2734375";"11;794921875";"0;15625";
2025-01-08 10:00:00 CEST;"98;40625";"94;625";"35;375";"18;1640625";0,0kWh;"7;91357421875";"56;68359375";"41;59375";0,0kWh;"10;6982421875";"12;1328125";"0;1875";
2025-01-08 11:00:00 CEST;"99;578125";"95;5";"31;5";"3;484375";0,0kWh;"7;8134765625";"58;28125";"40;71875";0,0kWh;"10;69921875";"12;416015625";"0;03125";
2025-01-08 12:00:00 CEST;"98;703125";95,0kWh;"29;4375";"1;6171875";0,0kWh;"7;71923828125";"58;4140625";"41;96875";0,0kWh;"10;546875";"12;75";0,0kWh;
2025-01-08 13:00:00 CEST;"96;96875";"93;875";"38;25";"22;5";0,0kWh;"7;78271484375";"38;34375";"37;5625";0,0kWh;"9;884765625";"12;771484375";"0;09375";
2025-01-08 14:00:00 CEST;"97;546875";95,0kWh;"39;375";"18;1796875";0,0kWh;"7;88623046875";"22;89453125";"42;15625";0,0kWh;"10;439453125";"11;78515625";"0;03125";
2025-01-08 15:00:00 CEST;"49;4375";"94;125";"34;375";"20;3828125";0,0kWh;"7;98876953125";"59;6796875";"42;03125";0,0kWh;"10;4609375";"11;880859375";0,0kWh;
2025-01-08 16:00:00 CEST;"47;828125";"86;5";"36;875";"19;828125";0,0kWh;"8;08544921875";"53;54296875";"42;375";0,0kWh;"10;1103515625";"11;7890625";0,0kWh;
2025-01-08 17:00:00 CEST;"58;53125";"92;125";"40;125";"1;6171875";0,0kWh;"8;0546875";"59;41796875";"42;28125";0,0kWh;"10;755859375";"11;66796875";0,0kWh;
2025-01-08 18:00:00 CEST;"99;234375";94,0kWh;"29;75";"1;6015625";0,0kWh;"8;0166015625";"23;01953125";"38;84375";0,0kWh;"10;798828125";"11;875";0,0kWh;
2025-01-08 19:00:00 CEST;"83;75";"86;25";"41;25";"1;6015625";0,0kWh;"8;11962890625";"45;40234375";"41;6875";0,0kWh;"10;9326171875";"12;33203125";0,0kWh;
2025-01-08 20:00:00 CEST;"9;828125";"94;125";"33;6875";"3;078125";0,0kWh;"7;57861328125";"4;375";"38;375";0,0kWh;"10;30078125";13,0kWh;0,0kWh;
2025-01-08 21:00:00 CEST;"10;390625";"93;625";"29;625";"33;6640625";0,0kWh;0,0kWh;0,0kWh;"41;4375";0,0kWh;"9;9248046875";11,0kWh;0,0kWh;
2025-01-08 22:00:00 CEST;"10;40625";"94;5";"28;4375";"23;1171875";0,0kWh;0,0kWh;0,0kWh;"40;71875";0,0kWh;"10;060546875";"8;0078125";0,0kWh;
2025-01-08 23:00:00 CEST;"2;0625";"17;5";"7;0625";"4;09375";0,0kWh;0,0kWh;0,0kWh;"7;59375";0,0kWh;"2;3994140625";"1;55078125";0,0kWh;
2025-01-09 00:00:00 CEST;"10;546875";"97;625";"27;25";"20;0078125";0,0kWh;0,0kWh;0,0kWh;"41;4375";0,0kWh;"11;3857421875";"7;546875";0,0kWh;
2025-01-09 01:00:00 CEST;"10;734375";"96;625";"40;625";"22;5703125";0,0kWh;0,0kWh;0,0kWh;"41;375";0,0kWh;"11;634765625";"7;509765625";0,0kWh;
2025-01-09 02:00:00 CEST;"10;40625";107,0kWh;36,0kWh;"10;8671875";0,0kWh;0,0kWh;0,0kWh;"41;0625";0,0kWh;"10;7001953125";"7;47265625";0,0kWh;
2025-01-09 03:00:00 CEST;"10;9375";"99;625";"47;3125";"24;9921875";0,0kWh;0,0kWh;0,0kWh;"41;09375";0,0kWh;"12;25";"7;763671875";0,0kWh;
2025-01-09 04:00:00 CEST;"10;671875";"99;875";"38;25";"1;9921875";0,0kWh;0,0kWh;0,0kWh;"41;25";0,0kWh;"12;595703125";"7;61328125";0,0kWh;
2025-01-09 05:00:00 CEST;"10;3125";"92;75";"40;125";"0;1484375";0,0kWh;0,0kWh;0,0kWh;"35;78125";0,0kWh;"13;5908203125";"7;51171875";0,0kWh;
2025-01-09 06:00:00 CEST;"35;1875";"70;75";0,0kWh;"0;1484375";0,0kWh;0,0kWh;"2;20703125";"1;53125";0,0kWh;"8;029296875";"15;19921875";0,0kWh;
2025-01-09 07:00:00 CEST;"103;6875";99,0kWh;"49;125";"0;140625";0,0kWh;"10;91259765625";"47;04296875";"1;53125";0,0kWh;"12;8173828125";"13;138671875";0,0kWh;
2025-01-09 08:00:00 CEST;"79;359375";"96;25";"39;6875";"0;1328125";0,0kWh;"8;38232421875";"38;1484375";"3;375";0,0kWh;"12;4794921875";"12;4453125";0,0kWh;
2025-01-09 09:00:00 CEST;"103;5625";"98;125";"29;9375";"0;1328125";0,0kWh;"8;1943359375";"48;7578125";"1;9375";0,0kWh;"12;6611328125";"12;29296875";0,0kWh;
2025-01-09 10:00:00 CEST;"104;09375";"82;75";"24;625";"0;125";0,0kWh;"7;45947265625";"37;42578125";"1;96875";0,0kWh;"11;0888671875";"10;177734375";0,0kWh;
2025-01-09 11:00:00 CEST;"37;671875";"38;875";"26;375";"0;0625";0,0kWh;"0;81103515625";"1;1171875";"0;71875";0,0kWh;"7;087890625";"7;267578125";0,0kWh;
2025-01-09 12:00:00 CEST;"76;671875";"99;5";32,0kWh;"0;1328125";0,0kWh;"9;111328125";"5;23046875";"1;5625";0,0kWh;"11;4462890625";"11;84765625";0,0kWh;
2025-01-09 13:00:00 CEST;"77;09375";"95;625";"35;4375";"13;2265625";0,0kWh;"7;92626953125";"24;5234375";"10;9375";0,0kWh;"11;982421875";"11;73828125";0,0kWh;
2025-01-09 14:00:00 CEST;"75;875";"95;125";"38;9375";"16;7890625";0,0kWh;"7;92724609375";"36;1328125";"42;71875";0,0kWh;"11;2060546875";"11;458984375";0,0kWh;
2025-01-09 15:00:00 CEST;"68;21875";"95;625";34,0kWh;"16;515625";0,0kWh;"7;8798828125";"27;83203125";"42;96875";0,0kWh;"10;298828125";"11;578125";0,0kWh;
2025-01-09 16:00:00 CEST;"77;5625";"97;625";"38;5";"4;8125";0,0kWh;"7;958984375";"7;5703125";"44;0625";0,0kWh;"11;2734375";"11;455078125";0,0kWh;
2025-01-09 17:00:00 CEST;"44;328125";"93;625";"38;375";"0;1328125";0,0kWh;"7;85693359375";"49;83203125";"44;03125";0,0kWh;"11;2001953125";"12;208984375";0,0kWh;
2025-01-09 18:00:00 CEST;"20;359375";100,0kWh;"31;5";"0;140625";0,0kWh;"7;77197265625";"49;6484375";"43;4375";0,0kWh;"10;77734375";"11;6875";0,0kWh;
2025-01-09 19:00:00 CEST;"7;296875";"100;125";"38;3125";"0;1328125";0,0kWh;"8;05078125";"52;4375";"42;8125";0,0kWh;"11;46484375";"11;1796875";0,0kWh;
2025-01-09 20:00:00 CEST;"7;453125";"99;25";"29;1875";"0;140625";0,0kWh;"6;45947265625";"48;97265625";"42;53125";0,0kWh;"10;6875";"11;259765625";0,0kWh;
2025-01-09 21:00:00 CEST;"6;5";"98;375";"31;75";"0;140625";0,0kWh;0,0kWh;0,0kWh;"42;625";0,0kWh;"12;587890625";"9;9453125";0,0kWh;
2025-01-09 22:00:00 CEST;"6;65625";"98;625";"34;625";"0;140625";0,0kWh;0,0kWh;0,0kWh;"42;3125";0,0kWh;"11;166015625";"8;3984375";0,0kWh;
2025-01-09 23:00:00 CEST;"1;34375";20,0kWh;"6;5625";"0;03125";0,0kWh;0,0kWh;0,0kWh;"8;46875";0,0kWh;"2;21484375";"1;419921875";0,0kWh;
2025-01-10 00:00:00 CEST;"6;484375";"93;875";"32;5";"0;1484375";0,0kWh;0,0kWh;0,0kWh;"41;5";0,0kWh;"12;103515625";"7;29296875";0,0kWh;
2025-01-10 01:00:00 CEST;"6;4375";"97;125";38,0kWh;"2;59375";0,0kWh;0,0kWh;0,0kWh;"41;375";0,0kWh;"12;736328125";"7;560546875";0,0kWh;
2025-01-10 02:00:00 CEST;"6;65625";"98;5";36,0kWh;"28;8984375";0,0kWh;0,0kWh;0,0kWh;"41;28125";0,0kWh;"12;025390625";"7;501953125";0,0kWh;
2025-01-10 03:00:00 CEST;"6;71875";"98;375";"33;5625";"19;796875";0,0kWh;0,0kWh;0,0kWh;"41;1875";0,0kWh;"12;666015625";"7;640625";0,0kWh;
2025-01-10 04:00:00 CEST;"6;515625";"93;875";"27;625";"22;5390625";0,0kWh;0,0kWh;0,0kWh;"39;8125";0,0kWh;"12;15625";"7;484375";0,0kWh;
2025-01-10 05:00:00 CEST;"5;140625";"89;25";"37;5625";"15;671875";0,0kWh;0,0kWh;0,0kWh;"37;65625";0,0kWh;"12;53125";"7;205078125";0,0kWh;
2025-01-10 06:00:00 CEST;"28;546875";"66;875";0,0kWh;"0;140625";0,0kWh;"3;76953125";"16;265625";"20;25";0,0kWh;"7;525390625";"13;138671875";0,0kWh;
2025-01-10 07:00:00 CEST;"103;703125";"96;625";"44;8125";"16;140625";0,0kWh;"9;14697265625";"51;19921875";"42;0625";0,0kWh;"11;140625";"12;427734375";0,0kWh;
2025-01-10 08:00:00 CEST;"102;65625";"99;75";"35;875";"22;1875";0,0kWh;"8;2939453125";"51;10546875";"42;40625";0,0kWh;"10;79296875";"12;35546875";"0;03125";
2025-01-10 09:00:00 CEST;"70;171875";"73;375";"40;1875";"14;71875";0,0kWh;"7;7900390625";"50;91015625";"42;1875";0,0kWh;"11;58984375";"13;033203125";0,0kWh;
2025-01-10 10:00:00 CEST;"94;5625";"22;375";"36;75";"1;5625";0,0kWh;"7;72119140625";"5;5703125";42,0kWh;0,0kWh;"11;30078125";"11;974609375";"6;65625";
2025-01-10 11:00:00 CEST;"96;921875";"57;625";"27;9375";"1;546875";0,0kWh;"7;75341796875";"36;3046875";"25;75";0,0kWh;"10;482421875";"12;01171875";"13;46875";
2025-01-10 12:00:00 CEST;"97;046875";"78;125";"34;25";"1;5625";0,0kWh;"7;71533203125";53,0kWh;"22;3125";0,0kWh;"10;22265625";"12;037109375";"10;40625";
2025-01-10 13:00:00 CEST;"97;375";77,0kWh;"39;875";"1;5859375";0,0kWh;"7;3720703125";"46;42578125";"36;03125";0,0kWh;"11;69140625";"11;841796875";"12;3125";
2025-01-10 14:00:00 CEST;"99;75";"71;5";"37;4375";"1;5859375";0,0kWh;"7;171875";"52;578125";"42;8125";0,0kWh;"11;138671875";"12;2734375";"11;6875";
2025-01-10 15:00:00 CEST;"104;6875";"85;125";"39;25";"1;5703125";0,0kWh;"7;17431640625";"42;1328125";"42;8125";0,0kWh;"11;125";"12;21484375";"10;84375";
2025-01-10 16:00:00 CEST;"102;421875";"98;5";"38;875";"1;578125";0,0kWh;"7;25";"45;94921875";"43;15625";0,0kWh;"11;533203125";"11;51953125";"1;4375";
2025-01-10 17:00:00 CEST;"104;078125";"94;75";"44;4375";"1;59375";0,0kWh;"7;30078125";"53;1953125";"42;34375";0,0kWh;"10;88671875";"11;802734375";"13;03125";
2025-01-10 18:00:00 CEST;"103;8125";"91;375";40,0kWh;"1;578125";0,0kWh;"7;29296875";"18;5078125";"42;6875";0,0kWh;"10;62109375";"11;501953125";"5;125";
2025-01-10 19:00:00 CEST;"98;953125";"94;75";"39;25";"1;5703125";0,0kWh;"7;79443359375";"2;10546875";"43;40625";0,0kWh;"10;796875";"12;345703125";"0;1875";
2025-01-10 20:00:00 CEST;"31;109375";"55;375";"38;25";"1;59375";0,0kWh;"5;61962890625";"2;06640625";"43;3125";0,0kWh;"11;8046875";"13;2890625";"2;03125";
2025-01-10 21:00:00 CEST;"1;125";"69;375";"25;0625";"1;5703125";0,0kWh;0,0kWh;"2;0703125";"43;28125";0,0kWh;"12;037109375";"10;822265625";0,0kWh;
2025-01-10 22:00:00 CEST;"0;703125";"98;75";"28;3125";"1;59375";0,0kWh;0,0kWh;"2;078125";"40;28125";0,0kWh;"12;271484375";"7;1484375";0,0kWh;
2025-01-10 23:00:00 CEST;"0;09375";23,0kWh;"6;9375";"0;375";0,0kWh;0,0kWh;"0;49609375";"10;15625";0,0kWh;"3;126953125";"1;822265625";0,0kWh;
2025-01-11 00:00:00 CEST;"0;421875";"98;25";"30;9375";"1;6171875";0,0kWh;0,0kWh;"28;78125";"42;5";0,0kWh;"11;82421875";"6;8671875";0,0kWh;
2025-01-11 01:00:00 CEST;"0;40625";"98;25";"34;125";"1;6171875";0,0kWh;0,0kWh;"15;9296875";"42;625";0,0kWh;"10;9140625";"13;712890625";0,0kWh;
2025-01-11 02:00:00 CEST;"0;421875";62,0kWh;"35;75";"1;625";0,0kWh;0,0kWh;0,0kWh;"42;25";0,0kWh;"11;494140625";"11;095703125";0,0kWh;
2025-01-11 03:00:00 CEST;"0;421875";"99;375";"45;375";"1;6171875";0,0kWh;0,0kWh;0,0kWh;"23;78125";0,0kWh;"12;083984375";"10;93359375";0,0kWh;
2025-01-11 04:00:00 CEST;"0;421875";"99;125";"35;75";"1;6328125";0,0kWh;0,0kWh;0,0kWh;"39;78125";0,0kWh;"12;08203125";"10;923828125";0,0kWh;
2025-01-11 05:00:00 CEST;"0;421875";"95;25";"39;1875";"1;625";0,0kWh;0,0kWh;0,0kWh;"36;875";0,0kWh;"12;201171875";"10;640625";0,0kWh;
2025-01-11 06:00:00 CEST;"3;5";"49;5";0,0kWh;"1;6171875";0,0kWh;"2;451171875";"7;95703125";"20;09375";0,0kWh;"7;134765625";"11;529296875";0,0kWh;
2025-01-11 07:00:00 CEST;"74;546875";"100;125";"40;75";"1;5859375";0,0kWh;"9;794921875";"53;41796875";"40;25";0,0kWh;"11;185546875";"11;693359375";0,0kWh;
2025-01-11 08:00:00 CEST;"75;796875";"98;875";"41;25";"1;5625";0,0kWh;"7;78125";"54;67578125";"40;53125";0,0kWh;"12;197265625";"11;31640625";"0;0625";
2025-01-11 09:00:00 CEST;"75;3125";"98;875";"36;8125";"0;1328125";0,0kWh;"7;6943359375";"53;8203125";"40;8125";0,0kWh;"12;1328125";"11;455078125";"0;1875";
2025-01-11 10:00:00 CEST;"75;125";"98;625";"42;3125";"1;546875";0,0kWh;"7;86376953125";"53;33984375";"40;28125";0,0kWh;"11;142578125";"10;611328125";"0;1875";
2025-01-11 11:00:00 CEST;"74;890625";99,0kWh;"38;25";"1;546875";0,0kWh;"7;83056640625";"53;2265625";"40;6875";0,0kWh;"11;744140625";"10;470703125";"5;4375";
2025-01-11 12:00:00 CEST;"75;21875";"97;5";"49;1875";"1;5625";0,0kWh;"7;78271484375";"53;78515625";"40;6875";0,0kWh;"11;09375";"9;7578125";"0;09375";
2025-01-11 13:00:00 CEST;"75;515625";"97;5";29,0kWh;"1;5703125";0,0kWh;"7;73388671875";"24;87109375";"40;15625";0,0kWh;"11;599609375";"13;94140625";"0;0625";
2025-01-11 14:00:00 CEST;"78;9375";"97;5";"33;375";"1;5703125";0,0kWh;"7;75927734375";"55;9609375";"21;71875";0,0kWh;"7;455078125";"10;94140625";0,0kWh;
2025-01-11 15:00:00 CEST;"80;921875";"46;875";"32;6875";"1;5859375";0,0kWh;"7;84033203125";"30;86328125";"1;4375";0,0kWh;"5;251953125";"10;15625";0,0kWh;
2025-01-11 16:00:00 CEST;"78;5";81,0kWh;"29;75";"1;59375";0,0kWh;"7;82666015625";"17;828125";"0;3125";0,0kWh;"5;375";"10;400390625";0,0kWh;
2025-01-11 17:00:00 CEST;"80;046875";"42;25";"36;5";"1;59375";0,0kWh;"7;84033203125";"43;50390625";"0;34375";0,0kWh;"5;521484375";"10;66015625";0,0kWh;
2025-01-11 18:00:00 CEST;"78;8125";"34;125";"30;875";"1;578125";0,0kWh;"7;8369140625";"52;54296875";0,0kWh;0,0kWh;"6;267578125";"11;04296875";0,0kWh;
2025-01-11 19:00:00 CEST;"60;625";35,0kWh;"38;5625";"1;5703125";0,0kWh;"7;85107421875";"51;0703125";0,0kWh;0,0kWh;"6;310546875";"10;849609375";0,0kWh;
2025-01-11 20:00:00 CEST;"54;28125";"32;625";"19;4375";"1;59375";0,0kWh;"0;2529296875";"50;765625";0,0kWh;0,0kWh;"6;314453125";"10;8828125";0,0kWh;
2025-01-11 21:00:00 CEST;"0;1875";"14;375";0,0kWh;"1;359375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;263671875";"11;013671875";0,0kWh;
2025-01-11 22:00:00 CEST;"0;1875";10,0kWh;0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;189453125";"11;046875";0,0kWh;
2025-01-11 23:00:00 CEST;"0;046875";"2;75";0,0kWh;"0;0390625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;326171875";"2;99609375";0,0kWh;
2025-01-12 00:00:00 CEST;"0;1875";"9;125";0,0kWh;"0;1328125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;1953125";"11;01171875";0,0kWh;
2025-01-12 01:00:00 CEST;"0;203125";"9;25";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;19140625";"7;056640625";0,0kWh;
2025-01-12 02:00:00 CEST;"0;1875";9,0kWh;0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;283203125";"6;73828125";0,0kWh;
2025-01-12 03:00:00 CEST;"0;171875";"9;25";0,0kWh;"0;1328125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;189453125";"6;654296875";0,0kWh;
2025-01-12 04:00:00 CEST;"0;171875";9,0kWh;0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;283203125";"6;578125";0,0kWh;
2025-01-12 05:00:00 CEST;"0;15625";"9;625";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;1875";"6;443359375";0,0kWh;
2025-01-12 06:00:00 CEST;"0;15625";"9;125";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;279296875";"6;626953125";0,0kWh;
2025-01-12 07:00:00 CEST;"0;171875";"9;625";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;1953125";"6;66796875";0,0kWh;
2025-01-12 08:00:00 CEST;"0;359375";"6;625";0,0kWh;"0;09375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;962890625";"8;447265625";0,0kWh;
