Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 D02.01 M43 KWh-Dif;MISFAT 3 Eclairage 3-2 KWh-Dif;MISFAT 3 G10 KWh-Diff;MISFAT 3 G33  kWh-Diff;MISFAT 3 G39 KWh-Diff;MISFAT 3 H39 KWh-Diff;MISFAT 3 H46 KWh-Diff;MISFAT 3 H53 KWh-Dif;MISFAT 3 N11 KWh-Dif;
2025-01-05 20:00:00 CEST;"0;171875";"8;5";0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;5390625";"5;958984375";0,0kWh;
2025-01-05 21:00:00 CEST;"0;171875";"9;125";0,0kWh;"0;1484375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;5869140625";"6;337890625";0,0kWh;
2025-01-05 22:00:00 CEST;"0;171875";"8;75";0,0kWh;"0;1484375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;5859375";"6;072265625";0,0kWh;
2025-01-05 23:00:00 CEST;0,0kWh;"0;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;05078125";"0;25";0,0kWh;
2025-01-06 00:00:00 CEST;"0;171875";9,0kWh;0,0kWh;"0;1640625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;60546875";"6;30078125";0,0kWh;
2025-01-06 01:00:00 CEST;"0;171875";"8;75";0,0kWh;"0;1640625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;6162109375";"6;23046875";0,0kWh;
2025-01-06 02:00:00 CEST;"0;171875";"9;25";0,0kWh;"0;1640625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;609375";"6;17578125";0,0kWh;
2025-01-06 03:00:00 CEST;"0;171875";"9;5";0,0kWh;"0;171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;623046875";"6;271484375";0,0kWh;
2025-01-06 04:00:00 CEST;"0;171875";"8;875";0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;6875";"6;099609375";0,0kWh;
2025-01-06 05:00:00 CEST;"0;15625";9,0kWh;0,0kWh;"0;15625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"13;5078125";"6;48828125";0,0kWh;
2025-01-06 06:00:00 CEST;"31;640625";"61;625";0,0kWh;"0;140625";0,0kWh;"2;78662109375";"21;3515625";"13;8125";0,0kWh;"9;4658203125";"14;93359375";0,0kWh;
2025-01-06 07:00:00 CEST;"106;796875";"94;625";20,0kWh;"12;21875";0,0kWh;"9;732421875";"54;04296875";"40;90625";0,0kWh;"12;0419921875";"12;9765625";0,0kWh;
2025-01-06 08:00:00 CEST;"106;015625";"97;75";"46;5625";"21;7734375";0,0kWh;"8;09423828125";"53;796875";"17;1875";0,0kWh;"12;509765625";"12;77734375";0,0kWh;
2025-01-06 09:00:00 CEST;"105;8125";"97;125";"36;4375";"14;390625";0,0kWh;"7;97021484375";"29;8828125";"1;59375";0,0kWh;"12;2353515625";"11;9765625";0,0kWh;
2025-01-06 10:00:00 CEST;"97;75";"95;75";"29;8125";"13;828125";0,0kWh;"7;8564453125";"5;22265625";"16;21875";0,0kWh;"11;33984375";"11;802734375";0,0kWh;
